roi_label,x,y,z,effect_size_photo,effect_size_sent
2,23,75,45,2.15588736534119,1.86143565177917
2,22,74,46,2.49922275543213,2.28058266639709
2,23,74,46,2.47401976585388,2.03731513023376
2,24,74,46,2.28594636917114,1.98186278343201
2,23,75,46,3.45281386375427,2.73670387268066
2,24,75,46,3.03872680664062,2.19066047668457
2,24,73,47,1.87794780731201,1.53354740142822
2,22,74,47,3.21175169944763,2.99496150016785
2,23,74,47,3.4296088218689,2.55355763435364
2,24,74,47,3.07481551170349,2.31924033164978
2,25,74,47,1.90739798545837,1.66786122322083
2,22,75,47,3.48769664764404,3.27268218994141
2,23,75,47,4.01295948028564,3.08142280578613
2,24,75,47,3.42525291442871,2.37911510467529
2,25,75,47,1.93415939807892,1.19185745716095
2,17,77,47,2.0673713684082,2.2660539150238
2,18,78,47,2.27276468276978,1.38931906223297
2,22,73,48,2.10300517082214,2.05991649627686
2,23,73,48,2.30787754058838,1.66183960437775
2,24,73,48,2.21856999397278,1.72171115875244
2,22,74,48,3.14852976799011,2.88053941726685
2,23,74,48,3.30615329742432,2.50847506523132
2,24,74,48,2.80513620376587,2.15497660636902
2,23,75,48,3.34856986999512,2.61903119087219
2,24,75,48,2.77202367782593,1.88559007644653
2,18,77,48,2.32668805122375,1.63457310199738
2,19,77,48,2.47418642044067,0.657160103321075
2,20,77,48,2.5339183807373,0.134014129638672
2,18,78,48,3.07579970359802,1.00841772556305
2,19,78,48,3.27711701393127,0.940978527069092
2,20,78,48,3.10536241531372,0.856399476528168
2,21,78,48,2.62348055839539,0.701547622680664
2,22,78,48,2.17012095451355,0.367219805717468
2,23,73,49,2.08014798164368,1.63626289367676
2,19,76,49,1.86218881607056,0.515835464000702
2,18,77,49,2.30685186386108,1.63568913936615
2,19,77,49,2.46303296089172,0.772943615913391
2,20,77,49,2.49070811271667,-0.0159933567047119
2,18,78,49,3.09320545196533,0.868848145008087
2,19,78,49,3.30539107322693,0.791157245635986
2,29,67,50,1.74410343170166,0.183095425367355
2,28,68,50,1.69957733154297,-0.0105293691158295
2,26,65,51,1.52871572971344,0.279457628726959
2,27,65,51,1.76871585845947,0.505714893341064
2,28,65,51,1.87312209606171,0.116719484329224
2,29,65,51,1.80695617198944,-0.361624956130981
2,26,66,51,1.83046412467957,0.99118047952652
2,27,66,51,2.14060497283936,1.29298567771912
2,28,66,51,2.49691247940063,0.80180025100708
2,29,66,51,2.36701965332031,0.0518267601728439
2,26,67,51,2.10513496398926,0.939054429531097
2,27,67,51,2.53254985809326,1.1731550693512
2,28,67,51,2.61844873428345,0.701485633850098
2,29,67,51,2.63421726226807,0.141207337379456
2,30,67,51,1.86571526527405,-0.115029275417328
2,26,68,51,2.00766801834106,0.405532896518707
2,27,68,51,2.24688076972961,0.327570855617523
2,28,68,51,2.34492921829224,-0.0135746598243713
2,29,68,51,2.43198275566101,-0.118854910135269
2,30,68,51,1.90268421173096,0.0455488264560699
2,27,69,51,1.56773614883423,-0.036304384469986
2,29,69,51,1.96450877189636,-0.321002870798111
2,18,73,51,2.7087516784668,1.28033590316772
2,18,74,51,2.27902317047119,1.00062394142151
2,26,65,52,1.71155190467834,0.0958043336868286
2,27,65,52,2.08622193336487,0.274117767810822
2,28,65,52,2.33134531974792,0.0639016032218933
2,29,65,52,2.11557626724243,-0.333304733037949
2,26,66,52,1.96735608577728,0.593872427940369
2,27,66,52,2.59009647369385,0.851321876049042
2,28,66,52,2.94176983833313,0.645929098129272
2,29,66,52,2.79319167137146,0.0547344088554382
2,26,67,52,2.37568426132202,0.586699843406677
2,27,67,52,3.01752591133118,0.797542333602905
2,28,67,52,3.18492913246155,0.560300648212433
2,29,67,52,3.19243478775024,0.221361935138702
2,26,68,52,2.36698722839355,0.361899495124817
2,27,68,52,2.82274150848389,0.39469987154007
2,28,68,52,2.84497499465942,0.0125678181648254
2,29,68,52,3.07964491844177,-0.100755751132965
2,26,69,52,2.09023308753967,0.157523989677429
2,27,69,52,2.42254495620728,0.111259937286377
2,28,69,52,2.36360955238342,-0.357415497303009
2,29,69,52,2.51573276519775,-0.36852103471756
2,27,70,52,2.41342568397522,-0.17284083366394
2,28,70,52,2.32480764389038,-0.480082392692566
2,29,70,52,2.23962569236755,-0.564970731735229
2,27,71,52,2.34994387626648,-0.558340430259705
2,17,73,52,2.16972064971924,0.095098078250885
2,18,73,52,3.10459494590759,0.770672202110291
2,18,74,52,2.97313237190247,0.794622659683228
2,18,75,52,2.30356979370117,1.10503435134888
2,26,64,53,1.37491965293884,-0.270449578762054
2,26,65,53,1.61308550834656,-0.0235623717308044
2,27,65,53,1.9250522851944,0.0519621968269348
2,28,65,53,2.20813202857971,-0.035905122756958
2,29,65,53,1.87938952445984,-0.213421434164047
2,26,66,53,1.86105787754059,0.224349439144135
2,27,66,53,2.45606637001038,0.391562163829803
2,28,66,53,2.79277968406677,0.33824634552002
2,29,66,53,2.66354727745056,0.0936095714569092
2,26,67,53,2.27504920959473,0.408858239650726
