roi_label,x,y,z,effect_size_photo,effect_size_sent
2,24,71,45,1.11653876304626,0.340236186981201
2,25,71,45,1.14091658592224,0.437168776988983
2,23,72,45,1.23385369777679,0.746994018554688
2,24,72,45,1.50012671947479,0.770294666290283
2,25,72,45,1.43251693248749,0.72910064458847
2,23,73,45,1.00047659873962,0.890592336654663
2,24,73,45,1.1913468837738,0.874534606933594
2,25,73,45,1.09727096557617,0.688441336154938
2,23,77,45,1.30627608299255,0.740910172462463
2,24,77,45,1.39674508571625,0.578595519065857
2,25,77,45,0.905036211013794,0.550050020217896
2,23,78,45,2.04220938682556,0.996882200241089
2,24,78,45,2.00505924224854,0.866621017456055
2,25,78,45,1.08233034610748,0.668221890926361
2,24,71,46,1.33270478248596,0.347510397434235
2,25,71,46,1.51829361915588,0.581088423728943
2,26,71,46,1.38313484191895,0.819061636924744
2,27,71,46,1.32670593261719,1.16147065162659
2,22,72,46,1.40888643264771,0.748605072498322
2,23,72,46,1.61443781852722,0.853711187839508
2,24,72,46,2.02239561080933,1.13587367534637
2,25,72,46,2.03158569335938,1.22212028503418
2,26,72,46,1.59129858016968,1.20241975784302
2,27,72,46,1.22584390640259,1.13332581520081
2,28,72,46,0.948521375656128,0.850655794143677
2,22,73,46,1.28309643268585,1.03357374668121
2,23,73,46,1.54221630096436,1.25129246711731
2,24,73,46,1.71913075447083,1.40016341209412
2,25,73,46,1.52899515628815,1.19266927242279
2,26,73,46,1.05852055549622,0.851677536964417
2,23,74,46,1.21198236942291,1.26113677024841
2,24,74,46,1.31676125526428,1.28853011131287
2,24,77,46,1.1791296005249,0.615401685237885
2,23,78,46,1.63549876213074,0.876618027687073
2,24,78,46,1.66163337230682,0.851719081401825
2,28,69,47,1.20326244831085,0.940960884094238
2,27,70,47,1.24425053596497,0.982232570648193
2,28,70,47,1.4687819480896,1.30739653110504
2,24,71,47,1.30517196655273,0.388427436351776
2,25,71,47,1.49587750434875,0.64954948425293
2,26,71,47,1.5006365776062,0.955945730209351
2,27,71,47,1.57754027843475,1.38485360145569
2,28,71,47,1.49037802219391,1.32320058345795
2,29,71,47,1.00356960296631,0.681987404823303
2,20,72,47,1.69683313369751,1.42127823829651
2,21,72,47,1.79844391345978,1.21295595169067
2,22,72,47,1.7458131313324,1.01042079925537
2,23,72,47,1.87507033348083,1.11863470077515
2,24,72,47,2.09604501724243,1.45075130462646
2,25,72,47,2.10325384140015,1.54992723464966
2,26,72,47,1.75612962245941,1.45846462249756
2,27,72,47,1.4526264667511,1.36375534534454
2,28,72,47,1.14125764369965,0.945898175239563
