ROI,Regression Term,Beta,SE,p.value.FDR,pLabel
F2,Intercept,1.95,0.16,<.001,***
F2,S-N,-0.01,0.17,0.965,
F2,H-E,0.57,0.2,0.044,*
F2,Task Sem>Perc,1.55,0.24,<.001,***
F2,StimType Sent>Pic,-1.01,0.24,<.001,***
F2,Task:StimType,-0.17,0.24,0.751,
F2,Sent_Sem>S,0.87,0.17,<.001,***
F2,SemTask>WMTask,1.94,0.28,<.001,***
F2,E2>E3,0.5,0.16,0.008,**
F2,E1>E3,-0.32,0.23,0.231,
F2,S>N:E2>E3,0.16,0.24,0.995,
F2,H-E:E2>E3,0.01,0.2,0.951,
F2,Sem>Perc:E2>E3,0.36,0.34,0.811,
F2,Sent>Pic:E2>E3,-0.09,0.34,0.923,
F2,Task:StimType:E2>E3,0.03,0.34,0.962,
F2,Sent_Sem>S:E2>E3,0.2,0.24,0.578,
F2,SemTask>WMTask:E2>E3,0.64,0.28,0.063,
F2,S-N:E1>E3,-0.25,0.26,0.854,
F2,Sem>Perc:E1>E3,-0.36,0.36,0.6,
F2,Sent>Pic:E1>E3,-0.16,0.36,0.856,
F2,Task:StimType:E1>E3,0.15,0.36,0.978,
F2,Sent_Sem>S:E1>E3,-0.34,0.26,0.311,
F1,Intercept,1.39,0.13,<.001,***
F1,S-N,0.04,0.18,0.965,
F1,H-E,0.31,0.21,0.233,
F1,Task Sem>Perc,1.31,0.25,<.001,***
F1,StimType Sent>Pic,-0.92,0.25,<.001,***
F1,Task:StimType,-0.19,0.25,0.751,
F1,Sent_Sem>S,0.64,0.18,0.002,**
F1,SemTask>WMTask,2.43,0.29,<.001,***
F1,E2>E3,0.34,0.16,0.053,
F1,E1>E3,-0.36,0.2,0.154,
F1,S>N:E2>E3,0.05,0.25,0.995,
F1,H-E:E2>E3,0.09,0.21,0.951,
F1,Sem>Perc:E2>E3,0.11,0.36,0.93,
F1,Sent>Pic:E2>E3,-0.12,0.36,0.923,
F1,Task:StimType:E2>E3,-0.02,0.36,0.962,
F1,Sent_Sem>S:E2>E3,0.26,0.25,0.525,
F1,SemTask>WMTask:E2>E3,0,0.29,0.996,
F1,S-N:E1>E3,-0.18,0.27,0.854,
F1,Sem>Perc:E1>E3,-0.18,0.38,0.783,
F1,Sent>Pic:E1>E3,-0.32,0.38,0.856,
F1,Task:StimType:E1>E3,0.01,0.38,0.978,
F1,Sent_Sem>S:E1>E3,-0.45,0.27,0.311,
TP3,Intercept,0.24,0.11,0.033,*
TP3,S-N,-0.17,0.13,0.597,
TP3,H-E,0.3,0.15,0.108,
TP3,Task Sem>Perc,0.51,0.18,0.007,**
TP3,StimType Sent>Pic,-0.06,0.18,0.759,
TP3,Task:StimType,-0.14,0.18,0.751,
TP3,Sent_Sem>S,0.29,0.13,0.053,
TP3,SemTask>WMTask,0.64,0.21,0.004,**
TP3,E2>E3,0.29,0.12,0.04,*
TP3,E1>E3,-0.34,0.16,0.11,
TP3,S>N:E2>E3,-0.11,0.18,0.995,
TP3,H-E:E2>E3,0.1,0.15,0.951,
TP3,Sem>Perc:E2>E3,0.61,0.26,0.231,
TP3,Sent>Pic:E2>E3,-0.17,0.26,0.923,
TP3,Task:StimType:E2>E3,-0.02,0.26,0.962,
TP3,Sent_Sem>S:E2>E3,0.18,0.19,0.525,
TP3,SemTask>WMTask:E2>E3,0.37,0.21,0.134,
TP3,S-N:E1>E3,0.06,0.2,0.854,
TP3,Sem>Perc:E1>E3,-0.49,0.28,0.524,
TP3,Sent>Pic:E1>E3,-0.19,0.28,0.856,
TP3,Task:StimType:E1>E3,0.17,0.28,0.978,
TP3,Sent_Sem>S:E1>E3,-0.24,0.2,0.311,
TP2,Intercept,1.54,0.11,<.001,***
TP2,S-N,-0.11,0.15,0.829,
TP2,H-E,0.33,0.17,0.108,
TP2,Task Sem>Perc,0.81,0.21,<.001,***
TP2,StimType Sent>Pic,-1.86,0.21,<.001,***
TP2,Task:StimType,-0.38,0.21,0.462,
TP2,Sent_Sem>S,0.2,0.15,0.209,
TP2,SemTask>WMTask,0.97,0.24,<.001,***
TP2,E2>E3,0.56,0.13,<.001,***
TP2,E1>E3,-0.44,0.17,0.099,
TP2,S>N:E2>E3,-0.02,0.21,0.995,
TP2,H-E:E2>E3,-0.05,0.17,0.951,
TP2,Sem>Perc:E2>E3,0.03,0.29,0.978,
TP2,Sent>Pic:E2>E3,-0.43,0.29,0.786,
TP2,Task:StimType:E2>E3,0.05,0.29,0.962,
TP2,Sent_Sem>S:E2>E3,0.29,0.21,0.517,
TP2,SemTask>WMTask:E2>E3,0.52,0.24,0.064,
TP2,S-N:E1>E3,-0.07,0.22,0.854,
TP2,Sem>Perc:E1>E3,-0.31,0.31,0.6,
TP2,Sent>Pic:E1>E3,0.14,0.31,0.856,
TP2,Task:StimType:E1>E3,-0.03,0.31,0.978,
TP2,Sent_Sem>S:E1>E3,-0.38,0.22,0.311,
Cer1,Intercept,1.08,0.15,<.001,***
Cer1,S-N,-0.1,0.19,0.919,
Cer1,H-E,0.5,0.22,0.108,
Cer1,Task Sem>Perc,0.89,0.27,0.001,**
Cer1,StimType Sent>Pic,-1.16,0.27,<.001,***
Cer1,Task:StimType,-0.37,0.27,0.462,
Cer1,Sent_Sem>S,0.49,0.19,0.022,*
Cer1,SemTask>WMTask,-0.69,0.31,0.03,*
Cer1,E2>E3,0.32,0.17,0.068,
Cer1,E1>E3,-0.22,0.22,0.344,
Cer1,S>N:E2>E3,0.01,0.27,0.995,
Cer1,H-E:E2>E3,-0.07,0.22,0.951,
Cer1,Sem>Perc:E2>E3,0.01,0.38,0.978,
Cer1,Sent>Pic:E2>E3,-0.57,0.38,0.786,
Cer1,Task:StimType:E2>E3,-0.12,0.38,0.962,
Cer1,Sent_Sem>S:E2>E3,0.12,0.27,0.788,
Cer1,SemTask>WMTask:E2>E3,0.42,0.31,0.216,
Cer1,S-N:E1>E3,-0.13,0.28,0.854,
Cer1,Sem>Perc:E1>E3,-0.1,0.4,0.867,
Cer1,Sent>Pic:E1>E3,-0.07,0.4,0.856,
Cer1,Task:StimType:E1>E3,0.2,0.4,0.978,
Cer1,Sent_Sem>S:E1>E3,-0.35,0.28,0.311,
TP4,Intercept,0.85,0.08,<.001,***
TP4,S-N,0.18,0.12,0.597,
TP4,H-E,-0.11,0.13,0.442,
TP4,Task Sem>Perc,1.03,0.16,<.001,***
TP4,StimType Sent>Pic,-0.6,0.16,<.001,***
TP4,Task:StimType,-0.23,0.16,0.462,
TP4,Sent_Sem>S,0.2,0.12,0.138,
TP4,SemTask>WMTask,2.2,0.19,<.001,***
TP4,E2>E3,0.08,0.1,0.477,
TP4,E1>E3,-0.22,0.12,0.154,
TP4,S>N:E2>E3,0,0.16,0.995,
TP4,H-E:E2>E3,-0.05,0.13,0.951,
TP4,Sem>Perc:E2>E3,0.1,0.23,0.908,
TP4,Sent>Pic:E2>E3,-0.17,0.23,0.923,
TP4,Task:StimType:E2>E3,0.15,0.23,0.962,
TP4,Sent_Sem>S:E2>E3,0.17,0.16,0.525,
TP4,SemTask>WMTask:E2>E3,0.07,0.19,0.79,
TP4,S-N:E1>E3,-0.13,0.17,0.854,
TP4,Sem>Perc:E1>E3,-0.16,0.25,0.692,
TP4,Sent>Pic:E1>E3,0.1,0.25,0.856,
TP4,Task:StimType:E1>E3,0.09,0.25,0.978,
