ROI,Regression Term,Beta,SE,p.value.FDR,pLabel
Cer1,Sem>Perc:E2>E3,0.65,0.2,0.002,**
Cer1,Sent>Pic:E2>E3,-0.11,0.2,0.654,
Cer1,Task:StimType:E2>E3,0.09,0.2,0.992,
Cer1,Sent_Sem>S:E2>E3,0.36,0.14,0.017,*
Cer1,SemTask>WMTask:E2>E3,0.46,0.16,0.006,**
Cer1,S-N:E1>E3,-0.04,0.15,0.843,
Cer1,Sem>Perc:E1>E3,-0.46,0.21,0.055,
Cer1,Sent>Pic:E1>E3,-0.33,0.21,0.802,
Cer1,Task:StimType:E1>E3,-0.04,0.21,0.915,
Cer1,Sent_Sem>S:E1>E3,-0.38,0.15,0.121,
TP4,Intercept,1.53,0.18,<.001,***
TP4,S-N,0.06,0.24,0.801,
TP4,H-E,0.19,0.28,0.609,
TP4,Task Sem>Perc,2.89,0.34,<.001,***
TP4,StimType Sent>Pic,-0.5,0.34,0.382,
TP4,Task:StimType,-0.17,0.34,0.951,
TP4,Sent_Sem>S,1.04,0.24,<.001,***
TP4,SemTask>WMTask,1.47,0.39,<.001,***
TP4,E2>E3,0.66,0.21,0.002,**
TP4,E1>E3,-0.32,0.26,0.243,
TP4,S>N:E2>E3,-0.02,0.34,0.946,
TP4,H-E:E2>E3,-0.02,0.28,0.994,
TP4,Sem>Perc:E2>E3,1.45,0.48,0.004,**
TP4,Sent>Pic:E2>E3,-0.84,0.48,0.616,
TP4,Task:StimType:E2>E3,0.11,0.48,0.992,
TP4,Sent_Sem>S:E2>E3,0.74,0.34,0.037,*
TP4,SemTask>WMTask:E2>E3,1.03,0.39,0.01,**
TP4,S-N:E1>E3,0.15,0.36,0.843,
TP4,Sem>Perc:E1>E3,-0.75,0.51,0.192,
TP4,Sent>Pic:E1>E3,-0.32,0.51,0.802,
TP4,Task:StimType:E1>E3,0.23,0.51,0.915,
TP4,Sent_Sem>S:E1>E3,-0.62,0.36,0.319,
F3,Intercept,1.13,0.2,<.001,***
F3,S-N,-0.07,0.23,0.801,
F3,H-E,0.14,0.27,0.658,
F3,Task Sem>Perc,2.85,0.33,<.001,***
F3,StimType Sent>Pic,-0.15,0.33,0.89,
F3,Task:StimType,-0.03,0.33,0.951,
F3,Sent_Sem>S,0.94,0.23,<.001,***
F3,SemTask>WMTask,3.26,0.38,<.001,***
F3,E2>E3,0.78,0.22,<.001,***
