subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20160804b_3T1,1,1,1,18.01796293,Sem-photo,5,A man is salting an egg.,1,5,"[[0.27999999999999997, -3.3542413793644115, -0.847682466720307], [0.5599999999999999, 0.796667998317146, 2.8121432515287275], [0.8399999999999999, -3.0421234854883887, -0.7688041642176684], [1.1199999999999999, 0.8838405680257815, 3.1198520513579986], [1.4, -2.1773415060255883, -0.5502568270951377]]",1,0,1.983087063,0
FED_20160804b_3T1,1,1,1,20.01738191,Sem-photo,25,A woman is putting on a glove.,0,4,"[[0.35, -0.3747009915674319, 2.8415788423714905], [0.7, -2.2312222674262565, -1.71281297140696], [1.0499999999999998, 2.261766859708203, -0.9363045553431997], [1.4, -2.5290662123977397, -1.9414549045078888]]",0,,,
FED_20160804b_3T1,1,1,1,22.01749706,Sem-photo,46,A woman is cutting a banana.,1,6,"[[0.2333333333333333, -1.5941640454196027, 2.3819347827728405], [0.4666666666666666, -1.2208928467965665, -2.480451502955461], [0.7, -1.6195576175754418, 2.4198768207648746], [0.9333333333333332, -1.4157960075074327, -2.8764304286937272], [1.1666666666666665, 2.2380164070554565, 0.1483866924139942], [1.4, -1.398157542368754, 2.0890698742912295]]",1,0,0.082891941,0
FED_20160804b_3T1,1,1,1,24.03320193,Sem-photo,26,A woman is putting on a sock.,0,5,"[[0.27999999999999997, -0.7839640146231002, 2.3175890063963482], [0.5599999999999999, -1.3604505582744746, -1.5479680638199191], [0.8399999999999999, -0.6432207293668905, 1.9015174973096536], [1.1199999999999999, 2.229573909842578, -0.44595860854305863], [1.4, -1.4614060663700739, -1.6628387597435648]]",0,1,1.916150093,0
FED_20160804b_3T1,1,1,1,26.03262591,Sem-photo,55,A man is putting a cheese slice on a cracker.,0,6,"[[0.2333333333333333, -3.369926683426817, 0.07311401870037076], [0.4666666666666666, 1.6742598998100917, 2.759866451028824], [0.7, -2.1953201505105064, 0.047629724209461904], [0.9333333333333332, 1.2262417054691612, 2.0213488623603646], [1.1666666666666665, 1.5852443220634256, -2.8886694223532436], [1.4, -2.333594933465684, 0.050629737567762644]]",0,1,1.865923166,0
FED_20160804b_3T1,1,1,1,28.03188205,Sem-photo,23,A woman is raking leaves.,0,5,"[[0.27999999999999997, -2.2010991809258553, 0.13885151660122858], [0.5599999999999999, 0.9890009561946971, -1.9931675916342142], [0.8399999999999999, 1.6035353243178931, 2.4126379765316104], [1.1199999999999999, 1.255353667507252, -2.5299573579199173], [1.4, 1.2136551294157867, 1.8260342701751606]]",0,0,1.815958977,1
FED_20160804b_3T1,1,1,1,30.03086996,Sem-photo,38,A woman is biting into a piece of candy.,1,6,"[[0.2333333333333333, -0.3254381046451113, -3.361992066453688], [0.4666666666666666, 2.6251171611868487, 1.1947328104624648], [0.7, -1.8479771199778212, 1.3195590183206782], [0.9333333333333332, -0.32865222725026355, -3.395196090644141], [1.1666666666666665, -2.1013742352724964, 1.5004987307709852], [1.4, -0.3204515467957684, -3.3104776073626576]]",1,1,1.899580956,1
FED_20160804b_3T1,1,1,1,34.02917504,Sem-sent,14,A man is sawing a piece of wood in half.,1,6,"[[0.2333333333333333, 2.694104445211868, 1.8568844234326614], [0.4666666666666666, 0.25890367909126893, -3.23470358391543], [0.7, -1.8482268044651402, 0.8785450749623317], [0.9333333333333332, 1.7412769137785877, 1.200157619659056], [1.1666666666666665, 0.22903647117844342, -2.861547185303163], [1.4, 2.4152201080100735, 1.664666195735617]]",1,0,1.882910967,0
FED_20160804b_3T1,1,1,1,36.02838802,Sem-sent,23,A woman is grilling a steak.,1,7,"[[0.19999999999999998, 0.9300041886164351, 1.7973778028341592], [0.39999999999999997, -2.604476451557137, -0.1201783879365131], [0.6, 1.2963655362612838, -2.0238060531414552], [0.7999999999999999, -3.0838675930109876, -0.142298939088559], [0.9999999999999999, 1.0315768131113974, 1.993682704336221], [1.2, -2.0115678565005353, -0.09281979957031607], [1.4, 1.5912349897503482, 3.075309213311401]]",1,,,
FED_20160804b_3T1,1,1,1,38.02802801,Sem-sent,29,A woman is dissolving some Alka-Seltzer in a glass.,1,6,"[[0.2333333333333333, -0.46099738788521877, 2.344802890865154], [0.4666666666666666, 2.290210134362849, -0.7831000495331041], [0.7, -2.430370010884175, -2.121844059346709], [0.9333333333333332, -0.4580332028604218, 2.3297259516072386], [1.1666666666666665, -1.5240896402598836, -1.330612431281936], [1.4, 2.356373295387361, -0.8057234646940786]]",1,0,0.049530029,0
