subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20160711a2_3T1,1,2,1,18.02751612663269,Sem-photo,111,A woman is opening a beer bottle.,1,3,"[[0.4666666666666666, 1.9843119519462709, -0.25001215443090075], [0.9333333333333332, -0.7756390989810976, 1.843470636634007], [1.4, 1.9843119519462709, -0.25001215443090075]]",1,,,
FED_20160711a2_3T1,1,2,1,20.027745962142944,Sem-photo,94,A woman is grooming a cat.,0,4,"[[0.35, -1.0259288106019593, -1.094289758508618], [0.7, 1.460647135270581, -0.3413355332013426], [1.0499999999999998, -1.0259288106019593, -1.094289758508618], [1.4, 1.460647135270581, -0.3413355332013426]]",0,1,0.016703128814697266,0
FED_20160711a2_3T1,1,2,1,22.027902126312256,Sem-photo,92,A woman is hanging a sweater on a chair.,0,4,"[[0.35, 0.9429883197908675, -1.1665217652225768], [0.7, -1.481731642645652, -0.23339095779960728], [1.0499999999999998, 0.9429883197908675, -1.1665217652225768], [1.4, 0.5387433228547842, 1.399912723022184]]",0,0,1.4336488246917725,1
FED_20160711a2_3T1,1,2,1,24.02823495864868,Sem-photo,86,A woman is throwing a Frisbee.,0,3,"[[0.4666666666666666, 1.362648879682506, -1.4639631247746685], [0.9333333333333332, -1.9491536960997637, -0.4481069838561206], [1.4, 0.5865048164172573, 1.9120701086307896]]",0,0,1.3335490226745605,1
FED_20160711a2_3T1,1,2,1,26.028491020202637,Sem-photo,66,A man is drying himself off with a towel.,0,4,"[[0.35, -1.497006983939474, 0.09471055926579428], [0.7, 0.830525242300546, 1.2490907981014108], [1.0499999999999998, 0.6664817416389278, -1.3438013573672045], [1.4, -1.497006983939474, 0.09471055926579428]]",0,1,1.350111961364746,0
FED_20160711a2_3T1,1,2,1,28.02875804901123,Sem-photo,59,A woman is pulling out a tissue.,1,4,"[[0.35, 1.3854027417692896, 0.5750297758361171], [0.7, -0.19471097707809715, -1.4873088567628758], [1.0499999999999998, 1.3854027417692896, 0.5750297758361171], [1.4, -1.1906917646911934, 0.9122790809267588]]",1,1,1.3668229579925537,1
FED_20160711a2_3T1,1,2,1,30.02901792526245,Sem-photo,100,A woman is opening a paint can.,0,3,"[[0.4666666666666666, 1.946367260685203, -0.4600592206800981], [0.9333333333333332, -0.5747606579883672, 1.9156331031877631], [1.4, -1.3716066026968368, -1.4555738825076665]]",0,1,1.3501551151275635,0
FED_20160711a2_3T1,1,2,1,34.029541015625,Sem-sent,100,A child is using a rock to hold down some papers.,0,4,"[[0.35, 0.14530823885905977, 1.4929452487347548], [0.7, 1.220274392434045, -0.8723132505985005], [1.0499999999999998, 0.14530823885905977, 1.4929452487347548], [1.4, -1.3655826312931052, -0.6206319981362538]]",0,0,1.7835519313812256,1
FED_20160711a2_3T1,1,2,1,36.02980709075928,Sem-sent,83,A man is putting a spoon into a kitchen drawer.,0,3,"[[0.4666666666666666, 1.84237495649175, -0.7782380867652408], [0.9333333333333332, -1.5951614315771723, -1.2064244722354842], [1.4, 1.84237495649175, -0.7782380867652408]]",0,1,1.700204849243164,0
FED_20160711a2_3T1,1,2,1,38.0300030708313,Sem-sent,79,A woman is putting bell peppers in an omelet.,1,3,"[[0.4666666666666666, -0.6460873667801658, -1.8927681090104702], [0.9333333333333332, 1.9622289492661842, 0.386855981809416], [1.4, -1.3161415824860183, 1.5059121272010527]]",1,1,1.583582878112793,1
