subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20190605b_3T2,2,1,1,18.024656057357788,Sem-photo,111,A woman is opening a beer bottle.,1,3,"[[0.4666666666666666, 1.9992208393268394, 0.055821461834025796], [0.9333333333333332, -0.9512676156387703, -1.7592867655493032], [1.4, 1.9992208393268394, 0.055821461834025796]]",1,,,
FED_20190605b_3T2,2,1,1,20.024975061416626,Sem-photo,97,A woman is painting a picture.,1,3,"[[0.4666666666666666, -1.9992464695458128, 0.054895846915805166], [0.9333333333333332, 1.0471644327642562, 1.7039503075951228], [1.4, 0.9520820367815579, -1.7588461545109282]]",1,1,1.6168818473815918,1
FED_20190605b_3T2,2,1,1,22.025227069854736,Sem-photo,69,A woman is putting an apple in a fruit bowl.,0,4,"[[0.35, 1.0384449450061886, -1.0824195564526233], [0.7, -1.45662530594415, -0.3581099245805832], [1.0499999999999998, 1.0384449450061886, -1.0824195564526233], [1.4, -1.45662530594415, -0.3581099245805832]]",0,0,1.2334849834442139,1
FED_20190605b_3T2,2,1,1,24.02547812461853,Sem-photo,83,A man is putting a piece of asparagus on a plate.,0,3,"[[0.4666666666666666, 1.9888459900693969, 0.2109303861108685], [0.9333333333333332, -0.8117519222326273, -1.8278563446703449], [1.4, 1.9888459900693969, 0.2109303861108685]]",0,1,1.2668049335479736,0
FED_20190605b_3T2,2,1,1,26.02576208114624,Sem-photo,105,A man is wrapping a box.,0,4,"[[0.35, -0.5810745247310887, 1.3828783014815653], [0.7, -0.9070704770597678, -1.194664450649874], [1.0499999999999998, 1.4881450017908557, -0.1882138508316911], [1.4, -0.5810745247310887, 1.3828783014815653]]",0,0,1.366631031036377,1
FED_20190605b_3T2,2,1,1,28.025990962982178,Sem-photo,79,A woman is putting a slice of pizza into a microwave.,1,4,"[[0.35, -1.104147697068115, -1.0153117073387747], [0.7, -0.32721188278107294, 1.4638758088604598], [1.0499999999999998, -1.104147697068115, -1.0153117073387747], [1.4, 1.4313595798491878, -0.44856410152168474]]",1,0,1.2001581192016602,0
FED_20190605b_3T2,2,1,1,30.0262770652771,Sem-photo,103,A man is putting in an earplug.,0,4,"[[0.35, 0.3810557534344827, 1.450791684830899], [0.7, 1.065894577945544, -1.055399805147931], [1.0499999999999998, -1.446950331380027, -0.3953918796829678], [1.4, 0.3810557534344827, 1.450791684830899]]",0,1,1.3834750652313232,0
FED_20190605b_3T2,2,1,1,34.02676200866699,Sem-sent,62,A man is surfing using a surfboard.,0,3,"[[0.4666666666666666, -1.7912492313555188, -0.8896213751750026], [0.9333333333333332, 1.666059326328959, -1.106456651275727], [1.4, 0.12518990502655983, 1.9960780264507298]]",0,0,1.666788101196289,1
FED_20190605b_3T2,2,1,1,36.027048110961914,Sem-sent,91,A woman is pouring some milk for the cat.,0,4,"[[0.35, 1.4966012874730668, 0.10091871151555101], [0.7, -0.6609024758468738, -1.3465540900459485], [1.0499999999999998, -0.8356988116261932, 1.2456353785303982], [1.4, -0.6609024758468738, -1.3465540900459485]]",0,0,1.7835547924041748,1
FED_20190605b_3T2,2,1,1,38.02730393409729,Sem-sent,97,A woman is spreading lotion on her hands.,1,4,"[[0.35, 1.1853359525080083, 0.9192272187505831], [0.7, -1.388742099542124, 0.5669174375156697], [1.0499999999999998, 1.1853359525080083, 0.9192272187505831], [1.4, 0.20340614703411564, -1.486144656266252]]",1,0,1.5501551628112793,0
