subject,semantic_task,target_network,semantic_roi,target_roi,overlap,overlap_method,run_label,space
249,EventsRev,language,LH_F2,LH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F2,LH_IFG,0.05263157894736842,overlap_coef,all,froi
249,EventsRev,language,LH_F2,LH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F2,LH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F2,LH_PostTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F2,LH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F2,RH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F2,RH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F2,RH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F2,RH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F2,RH_PostTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F2,RH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F1,LH_IFGorb,0.08108108108108109,overlap_coef,all,froi
249,EventsRev,language,LH_F1,LH_IFG,0.039473684210526314,overlap_coef,all,froi
249,EventsRev,language,LH_F1,LH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F1,LH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F1,LH_PostTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F1,LH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F1,RH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F1,RH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F1,RH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F1,RH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F1,RH_PostTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_F1,RH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP2,LH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP2,LH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP2,LH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP2,LH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP2,LH_PostTemp,0.0755813953488372,overlap_coef,all,froi
249,EventsRev,language,LH_TP2,LH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP2,RH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP2,RH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP2,RH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP2,RH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP2,RH_PostTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP2,RH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP3,LH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP3,LH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP3,LH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP3,LH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP3,LH_PostTemp,0.008888888888888889,overlap_coef,all,froi
249,EventsRev,language,LH_TP3,LH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP3,RH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP3,RH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP3,RH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP3,RH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP3,RH_PostTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP3,RH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP1,LH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP1,LH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP1,LH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP1,LH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP1,LH_PostTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP1,LH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP1,RH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP1,RH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP1,RH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP1,RH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP1,RH_PostTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP1,RH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP4,LH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP4,LH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP4,LH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP4,LH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP4,LH_PostTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP4,LH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP4,RH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP4,RH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP4,RH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP4,RH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP4,RH_PostTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_TP4,RH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_O1,LH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_O1,LH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_O1,LH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_O1,LH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_O1,LH_PostTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_O1,LH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_O1,RH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_O1,RH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_O1,RH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_O1,RH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_O1,RH_PostTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_O1,RH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_Cer1,LH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_Cer1,LH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_Cer1,LH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_Cer1,LH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_Cer1,LH_PostTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_Cer1,LH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_Cer1,RH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_Cer1,RH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_Cer1,RH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_Cer1,RH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_Cer1,RH_PostTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_Cer1,RH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID_O3,LH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID_O3,LH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID_O3,LH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID_O3,LH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID_O3,LH_PostTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID_O3,LH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID_O3,RH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID_O3,RH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID_O3,RH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID_O3,RH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID_O3,RH_PostTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID_O3,RH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID3,LH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID3,LH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID3,LH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID3,LH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID3,LH_PostTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID3,LH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID3,RH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID3,RH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID3,RH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID3,RH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID3,RH_PostTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,LH_MID3,RH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_MID_O4,LH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_MID_O4,LH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_MID_O4,LH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_MID_O4,LH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_MID_O4,LH_PostTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_MID_O4,LH_AngG,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_MID_O4,RH_IFGorb,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_MID_O4,RH_IFG,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_MID_O4,RH_MFG,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_MID_O4,RH_AntTemp,0.0,overlap_coef,all,froi
249,EventsRev,language,RH_MID_O4,RH_PostTemp,0.0,overlap_coef,all,froi
