subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20190306a_3T2,1,1,1,18.026856899261475,Sem-photo,14,A man is catching a baseball.,0,4,"[[0.35, -0.311852777201821, -1.4672245381506919], [0.7, -1.1147273344934794, 1.0036846963728514], [1.0499999999999998, 1.4265801116953003, 0.46353984177783947], [1.4, -1.1147273344934794, 1.0036846963728514]]",0,0,1.7334671020507812,1
FED_20190306a_3T2,1,1,1,20.027034997940063,Sem-photo,45,A woman is mixing some paint on a palette.,1,3,"[[0.4666666666666666, -0.21424886636035992, -1.9884912429435793], [0.9333333333333332, 1.8292083647722133, 0.8087006604717007], [1.4, -1.6149594984118534, 1.1797905824718788]]",1,1,1.0501117706298828,1
FED_20190306a_3T2,1,1,1,22.027222871780396,Sem-photo,2,A man is washing his hands.,0,3,"[[0.4666666666666666, -0.46120569507748993, -1.946095914087507], [0.9333333333333332, 1.9159713473396243, 0.5736321087365881], [1.4, -1.4547656522621355, 1.3724638053509184]]",0,1,1.4667909145355225,0
FED_20190306a_3T2,1,1,1,24.02743697166443,Sem-photo,53,A man is eating some oatmeal.,1,3,"[[0.4666666666666666, 0.8653988769018761, -1.8030764775397], [0.9333333333333332, -1.9942094729664799, 0.15208082696630168], [1.4, 1.1288105960646029, 1.6509956505733976]]",1,1,1.7000799179077148,1
FED_20190306a_3T2,1,1,1,26.027620792388916,Sem-photo,54,A man is putting a pencil behind his ear.,0,4,"[[0.35, 0.09023684025132857, 1.497283310753665], [0.7, 1.2515669636494795, -0.8267890513917215], [1.0499999999999998, 0.09023684025132857, 1.497283310753665], [1.4, -1.3418038039008082, -0.6704942593619438]]",0,0,1.633430004119873,1
FED_20190306a_3T2,1,1,1,28.0277578830719,Sem-photo,49,A woman is opening a can.,1,4,"[[0.35, 0.14462023369035237, -1.4930120521976198], [0.7, 1.2206762485143001, 0.8717508223758983], [1.0499999999999998, 0.14462023369035237, -1.4930120521976198], [1.4, 1.2206762485143001, 0.8717508223758983]]",1,1,1.6168510913848877,1
FED_20190306a_3T2,1,1,1,30.02794885635376,Sem-photo,20,A man is plugging in his laptop.,0,3,"[[0.4666666666666666, -0.7242446736628929, 1.864261154632293], [0.9333333333333332, 1.9766198560315213, -0.3049162913685127], [1.4, -0.7242446736628929, 1.864261154632293]]",0,0,1.6667160987854004,1
FED_20190306a_3T2,1,1,1,34.02831292152405,Sem-sent,49,A woman is putting a parakeet into a cage.,0,3,"[[0.4666666666666666, 0.43838093195961797, -1.9513641788487912], [0.9333333333333332, 1.4707404849382038, 1.3553311130361236], [1.4, 0.43838093195961797, -1.9513641788487912]]",0,,,
FED_20190306a_3T2,1,1,1,36.028501987457275,Sem-sent,23,A woman is grilling a steak.,1,3,"[[0.4666666666666666, 1.6751353756263128, 1.0926671374784234], [0.9333333333333332, -1.7838451867498946, 0.9043762213311634], [1.4, 0.10870981112358033, -1.9970433588095866]]",1,0,0.21667981147766113,0
FED_20190306a_3T2,1,1,1,38.028687953948975,Sem-sent,54,A woman is filling out her tax forms.,1,4,"[[0.35, 1.3284433991113753, -0.696590364100319], [0.7, -1.267486650898016, -0.802170549070041], [1.0499999999999998, -0.060956748213360085, 1.4987609131703605], [1.4, -1.267486650898016, -0.802170549070041]]",1,1,1.3168058395385742,1
FED_20190306a_3T2,1,1,1,40.028870820999146,Sem-sent,41,A woman is plugging a hard drive into the computer.,0,4,"[[0.35, 1.3565513175008488, -0.6401316450439791], [0.7, -0.12390539237601572, 1.4948737250149744], [1.0499999999999998, 1.3565513175008488, -0.6401316450439791], [1.4, -1.232645925124833, -0.8547420799709962]]",0,0,1.316802978515625,1
FED_20190306a_3T2,1,1,1,42.02913284301758,Sem-sent,28,A man is putting the chess pieces on the chess board.,0,4,"[[0.35, -1.4955295368344228, 0.11572123597601519], [0.7, 0.6475472383046492, -1.3530271889965928], [1.0499999999999998, -1.4955295368344228, 0.11572123597601519], [1.4, 0.8479822985297736, 1.2373059530205786]]",0,0,1.6501121520996094,1
FED_20190306a_3T2,1,1,1,44.029303789138794,Sem-sent,29,A woman is dissolving some Alka-Seltzer in a glass.,1,3,"[[0.4666666666666666, 0.007392638022411616, -1.9999863371790991], [0.9333333333333332, -1.7357352942300959, 0.993590956261158], [1.4, 0.007392638022411616, -1.9999863371790991]]",1,1,1.700160026550293,1
FED_20190306a_3T2,1,1,1,46.04616093635559,Sem-sent,32,A man is making an extra hole in his belt.,1,3,"[[0.4666666666666666, 0.8623724724176068, -1.8045258986272112], [0.9333333333333332, -1.9939515062069109, 0.15542648067556342], [1.4, 1.1315790337893052, 1.6490994179516474]]",1,1,1.7001359462738037,1
FED_20190306a_3T2,1,1,1,50.029860973358154,Perc-photo,107,A man is dusting a bookshelf.,0,4,"[[0.35, 0.7371466506775999, -1.3063746841525967], [0.7, 0.7627803379982219, 1.2915750678777127], [1.0499999999999998, 0.7371466506775999, -1.3063746841525967], [1.4, -1.4999269886758209, 0.014799616274883583]]",0,0,1.866703987121582,1
FED_20190306a_3T2,1,1,1,52.03004288673401,Perc-photo,77,A man is buttering a bread roll.,1,4,"[[0.35, -1.3123233760427275, -0.7265035145763702], [0.7, 0.026991188459548326, 1.499757138921346], [1.0499999999999998, 1.2853321875831787, -0.7732536243449755], [1.4, -1.3123233760427275, -0.7265035145763702]]",0,0,1.7501099109649658,1
FED_20190306a_3T2,1,1,1,54.0302197933197,Perc-photo,103,A man is putting in an earplug.,0,3,"[[0.4666666666666666, 1.9375880370489769, 0.4957344033700832], [0.9333333333333332, -0.5394754316760731, -1.9258676638382801], [1.4, -1.398112605372904, 1.4301332604681951]]",1,1,1.9000871181488037,1
FED_20190306a_3T2,1,1,1,56.030404806137085,Perc-photo,67,A man is removing lint from his shirt.,0,4,"[[0.35, -1.176429608700062, -0.9305983966103846], [0.7, 1.3941366565356907, -0.5535187285932479], [1.0499999999999998, -1.176429608700062, -0.9305983966103846], [1.4, -0.21770704783562772, 1.484117125203633]]",0,0,1.7002060413360596,1
FED_20190306a_3T2,1,1,1,58.030601978302,Perc-photo,106,A man is putting on a shoe.,0,4,"[[0.35, 1.4312278018407256, -0.4489843864079959], [0.7, -0.3267820163884713, 1.4639718282006264], [1.0499999999999998, -1.1044457854522551, -1.014987441792632], [1.4, -0.3267820163884713, 1.4639718282006264]]",0,0,1.7502098083496094,1
FED_20190306a_3T2,1,1,1,60.030773878097534,Perc-photo,85,A woman is putting on a hat.,0,3,"[[0.4666666666666666, 1.6999330812206894, 1.0536733456681597], [0.9333333333333332, -1.7624744252495135, 0.9453485602365919], [1.4, 0.06254134402882502, -1.9990219059047523]]",1,1,1.7835559844970703,1
FED_20190306a_3T2,1,1,1,62.03095579147339,Perc-photo,86,A woman is throwing a Frisbee.,0,4,"[[0.35, -1.3294264704725347, 0.694712357459502], [0.7, 1.266351785119172, 0.8039609171629469], [1.0499999999999998, -1.3294264704725347, 0.694712357459502], [1.4, 1.266351785119172, 0.8039609171629469]]",0,0,1.6500940322875977,1
FED_20190306a_3T2,1,1,1,66.0313229560852,Perc-sent,63,A woman is melting some butter for the recipe.,1,3,"[[0.4666666666666666, -1.9615047101560545, -0.39051155173133106], [0.9333333333333332, 0.6425594308074124, 1.8939686845036414], [1.4, 1.318945279348643, -1.5034571327723083]]",1,1,1.8669300079345703,1
FED_20190306a_3T2,1,1,1,68.03150796890259,Perc-sent,67,A man is putting fire logs into the fireplace.,0,4,"[[0.35, 0.6976921297427496, 1.327865088062423], [0.7, -1.4988109639318938, -0.05971343565352087], [1.0499999999999998, 0.8011188341891451, -1.2681516524089007], [1.4, -1.4988109639318938, -0.05971343565352087]]",0,0,1.7001299858093262,1
FED_20190306a_3T2,1,1,1,70.03176283836365,Perc-sent,108,A woman is decorating a notebook with some stickers.,0,4,"[[0.35, -0.6108241100096993, -1.3699977761408442], [0.7, 1.4918649322710071, 0.15600969155800215], [1.0499999999999998, -0.6108241100096993, -1.3699977761408442], [1.4, 1.4918649322710071, 0.15600969155800215]]",0,0,1.7501449584960938,1
FED_20190306a_3T2,1,1,1,72.03194785118103,Perc-sent,110,A boy is chasing a cat around the yard.,0,3,"[[0.4666666666666666, 0.6728968482518397, -1.883403788785809], [0.9333333333333332, 1.294627102546452, 1.5244476591054803], [1.4, 0.6728968482518397, -1.883403788785809]]",1,1,1.8335249423980713,1
FED_20190306a_3T2,1,1,1,74.03213286399841,Perc-sent,102,A man is putting vanilla extract in the dough.,1,4,"[[0.35, 0.6603432083022193, -1.3468284401693973], [0.7, -1.4965592478771776, 0.10154022647845723], [1.0499999999999998, 0.6603432083022193, -1.3468284401693973], [1.4, -1.4965592478771776, 0.10154022647845723]]",0,0,1.750133991241455,1
FED_20190306a_3T2,1,1,1,76.03231978416443,Perc-sent,112,A man is smoking a pipe.,1,3,"[[0.4666666666666666, 1.7929205783879063, -0.8862481591479756], [0.9333333333333332, -1.6639737090732944, -1.1095906882778277], [1.4, -0.12894686931461258, 1.9958388474258035]]",1,1,1.783480167388916,1
FED_20190306a_3T2,1,1,1,78.0325038433075,Perc-sent,84,A man is making a clay pot.,1,4,"[[0.35, -0.5742544791499054, 1.3857242846887943], [0.7, -0.9129451936065636, -1.190181109525216], [1.0499999999999998, -0.5742544791499054, 1.3857242846887943], [1.4, -0.9129451936065636, -1.190181109525216]]",0,0,1.7167961597442627,1
FED_20190306a_3T2,1,1,1,98.01772093772888,Perc-sent,95,A man is mowing the lawn.,1,3,"[[0.4666666666666666, -0.27774649753475533, -1.9806203278536691], [0.9333333333333332, 1.8541407679405186, 0.7497746412495849], [1.4, -0.27774649753475533, -1.9806203278536691]]",1,1,1.9501910209655762,1
FED_20190306a_3T2,1,1,1,100.01791882514954,Perc-sent,86,A woman is putting butter in a butter dish.,0,4,"[[0.35, -1.2036737853082082, -0.8950806771245873], [0.7, 1.3769994974805737, -0.5948717373839907], [1.0499999999999998, -0.17332571217236603, 1.4899524145085783], [1.4, 1.3769994974805737, -0.5948717373839907]]",0,0,1.6834640502929688,1
FED_20190306a_3T2,1,1,1,102.01808977127075,Perc-sent,74,A woman is making a necklace using some beads.,0,3,"[[0.4666666666666666, 1.8925251004711123, 0.6467988436034858], [0.9333333333333332, -1.5064067799345728, 1.3155753925059375], [1.4, 1.8925251004711123, 0.6467988436034858]]",1,1,1.8501601219177246,1
FED_20190306a_3T2,1,1,1,104.01828193664551,Perc-sent,57,A man is hanging a bird feeder on a tree.,0,3,"[[0.4666666666666666, -1.6069846620025747, -1.1906302096320547], [0.9333333333333332, 1.8346083390558383, -0.7963744359701526], [1.4, -1.6069846620025747, -1.1906302096320547]]",1,1,1.916827917098999,1
FED_20190306a_3T2,1,1,1,106.0184998512268,Perc-sent,81,A man is turning the burger over using a spatula.,0,4,"[[0.35, -0.507510777432631, 1.4115356215093287], [0.7, -0.9686703178574201, -1.1452850367057124], [1.0499999999999998, 1.4761810952900503, -0.26625058480361596], [1.4, -0.507510777432631, 1.4115356215093287]]",0,0,1.7167730331420898,1
FED_20190306a_3T2,1,1,1,108.01864981651306,Perc-sent,85,A woman is putting a bandaid on a cut.,0,4,"[[0.35, -0.26861377370309375, -1.4757529063420418], [0.7, 1.4123463934524723, 0.5052501013377376], [1.0499999999999998, -0.26861377370309375, -1.4757529063420418], [1.4, 1.4123463934524723, 0.5052501013377376]]",0,0,1.9168381690979004,1
FED_20190306a_3T2,1,1,1,110.01882696151733,Perc-sent,101,A man is putting eye drops in his eye.,1,3,"[[0.4666666666666666, -1.6694436695235284, 1.1013436494972022], [0.9333333333333332, -0.11906974399947672, -1.9964524527430898], [1.4, -1.6694436695235284, 1.1013436494972022]]",1,,,
FED_20190306a_3T2,1,1,1,114.05253291130066,Perc-photo,63,A woman is screwing in a light bulb.,0,4,"[[0.35, -1.4882325684819813, 0.18752019120490776], [0.7, 0.9065135335469552, 1.1950871154423066], [1.0499999999999998, -1.4882325684819813, 0.18752019120490776], [1.4, 0.5817190349350259, -1.3826073066472135]]",0,0,1.6333930492401123,1
FED_20190306a_3T2,1,1,1,116.01938676834106,Perc-photo,73,A woman is filling a balloon with helium.,0,3,"[[0.4666666666666666, 1.7600988464996785, -0.9497642078697752], [0.9333333333333332, -1.702569354870268, -1.0494082103055222], [1.4, -0.057529491629410956, 1.9991724181752963]]",1,1,1.800213098526001,1
FED_20190306a_3T2,1,1,1,118.01959085464478,Perc-photo,74,A man is pouring some coffee.,0,3,"[[0.4666666666666666, 0.31639970465360306, -1.9748142259197732], [0.9333333333333332, -1.8684391397282263, 0.7133969309799737], [1.4, 0.31639970465360306, -1.9748142259197732]]",1,1,1.7501840591430664,1
FED_20190306a_3T2,1,1,1,120.01976680755615,Perc-photo,102,A woman is toasting some bread.,1,3,"[[0.4666666666666666, 0.6733396224079481, -1.8832455370703847], [0.9333333333333332, 1.294268665462647, 1.5247519869150978], [1.4, 0.6733396224079481, -1.8832455370703847]]",1,1,1.9169180393218994,1
FED_20190306a_3T2,1,1,1,122.01995277404785,Perc-photo,81,A woman is stapling some papers.,1,4,"[[0.35, 1.4904624349803763, -0.16888377634446594], [0.7, -0.5989735768888302, 1.3752202202516515], [1.0499999999999998, -0.8914888580915454, -1.2063364439071846], [1.4, 1.4904624349803763, -0.16888377634446594]]",0,0,1.7335140705108643,1
