subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20190306a_3T2,1,2,2,18.02678608894348,Perc-photo,82,A man is clipping his fingernails.,1,3,"[[0.4666666666666666, 1.9998911497200504, 0.02086598359566113], [0.9333333333333332, -0.9818751029912323, -1.7423895322590632], [1.4, 1.9998911497200504, 0.02086598359566113]]",1,1,1.9501700401306152,1
FED_20190306a_3T2,1,2,2,20.026965141296387,Perc-photo,83,A man is putting a piece of asparagus on a plate.,0,4,"[[0.35, -1.1434384731361575, -0.9708493488446354], [0.7, 1.4124994359151142, -0.5048220909780833], [1.0499999999999998, -1.1434384731361575, -0.9708493488446354], [1.4, 1.4124994359151142, -0.5048220909780833]]",0,0,1.6167778968811035,1
FED_20190306a_3T2,1,2,2,22.027154207229614,Perc-photo,96,A woman is ironing a sweater.,0,3,"[[0.4666666666666666, 1.999969895356796, 0.010973498372298059], [0.9333333333333332, -1.0094882760371946, 1.726537986996942], [1.4, -0.9904816193196017, -1.737511485369239]]",1,1,1.7334918975830078,1
FED_20190306a_3T2,1,2,2,24.060689210891724,Perc-photo,80,A woman is pouring some dish soap onto a sponge.,0,4,"[[0.35, -1.1972772140815675, 0.9036189864323794], [0.7, -0.18391839055160378, -1.4886819759830867], [1.0499999999999998, -1.1972772140815675, 0.9036189864323794], [1.4, 1.3811956046331701, 0.5850629895507078]]",0,0,1.6500937938690186,1
FED_20190306a_3T2,1,2,2,26.027509212493896,Perc-photo,104,A man is putting a marshmallow into hot cocoa.,1,4,"[[0.35, 0.5349970568594964, -1.4013486893531093], [0.7, 0.9461050361100729, 1.1639953868667856], [1.0499999999999998, 0.5349970568594964, -1.4013486893531093], [1.4, 0.9461050361100729, 1.1639953868667856]]",0,0,1.6834638118743896,1
FED_20190306a_3T2,1,2,2,28.027696132659912,Perc-photo,64,A woman is putting a fork in a utensil rack.,0,4,"[[0.35, 1.1321602421432382, -0.9839782447341834], [0.7, 0.2860700356394063, 1.4724686532178772], [1.0499999999999998, 1.1321602421432382, -0.9839782447341834], [1.4, 0.2860700356394063, 1.4724686532178772]]",0,0,1.6668548583984375,1
FED_20190306a_3T2,1,2,2,30.027871131896973,Perc-photo,88,A man is kissing a woman.,0,3,"[[0.4666666666666666, 1.028974287473644, -1.7149961853363134], [0.9333333333333332, -1.9997174076314748, -0.033619780125010115], [1.4, 1.028974287473644, -1.7149961853363134]]",1,1,1.6668860912322998,1
FED_20190306a_3T2,1,2,2,34.028242111206055,Perc-sent,68,A man is putting a comforter on the bed.,0,4,"[[0.35, -0.9213081032368944, -1.1837192990358973], [0.7, 1.4857850355334428, -0.2060165725976592], [1.0499999999999998, -0.5644769322965488, 1.3897358716335553], [1.4, 1.4857850355334428, -0.2060165725976592]]",0,0,1.6501970291137695,1
FED_20190306a_3T2,1,2,2,36.028428077697754,Perc-sent,59,A woman is singing into the microphone.,0,3,"[[0.4666666666666666, -1.0884449217654144, 1.6778818946168652], [0.9333333333333332, -0.9088658844054635, -1.7815619001774468], [1.4, 1.9973108061708769, 0.1036800055605814]]",1,,,
FED_20190306a_3T2,1,2,2,38.028611183166504,Perc-sent,71,A man is attaching a bike to the pole using a bike lock.,0,4,"[[0.35, -1.4780073155497107, 0.25591868861327427], [0.7, 0.5173715721325608, -1.4079512265519294], [1.0499999999999998, 0.9606357434171506, 1.1520325379386547], [1.4, -1.4780073155497107, 0.25591868861327427]]",0,0,1.6835658550262451,1
FED_20190306a_3T2,1,2,2,40.02886605262756,Perc-sent,94,A woman is hanging a Christmas ornament.,0,4,"[[0.35, -1.4572269731519658, 0.3556536921196798], [0.7, 0.42060835425061044, -1.4398224238893464], [1.0499999999999998, -1.4572269731519658, 0.3556536921196798], [1.4, 0.42060835425061044, -1.4398224238893464]]",0,0,1.6167540550231934,1
FED_20190306a_3T2,1,2,2,42.02906322479248,Perc-sent,69,A woman is putting aspirin into a medicine cabinet.,0,4,"[[0.35, -1.0045222871966533, -1.113972609414255], [0.7, -0.46246743527445905, 1.4269281240870768], [1.0499999999999998, -1.0045222871966533, -1.113972609414255], [1.4, -0.46246743527445905, 1.4269281240870768]]",0,0,1.6833930015563965,1
FED_20190306a_3T2,1,2,2,44.02923512458801,Perc-sent,105,A man is putting a piece of lime into his margarita.,1,3,"[[0.4666666666666666, -1.0869934150623606, -1.6788225980165583], [0.9333333333333332, -0.9104063107985477, 1.7807752101986871], [1.4, -1.0869934150623606, -1.6788225980165583]]",1,1,1.6334450244903564,1
FED_20190306a_3T2,1,2,2,46.029420137405396,Perc-sent,62,A man is surfing using a surfboard.,0,4,"[[0.35, 0.24239869085845253, 1.4802847275676758], [0.7, -1.403163524336961, -0.5302189396563263], [1.0499999999999998, 1.1607648334785086, -0.9500657879113479], [1.4, -1.403163524336961, -0.5302189396563263]]",0,0,1.633418083190918,1
FED_20190306a_3T2,1,2,2,50.02978205680847,Sem-photo,18,A man is putting some flowers in a vase.,0,3,"[[0.4666666666666666, -0.5597197974602108, 1.9200817035561535], [0.9333333333333332, 1.9426994313514359, -0.4753092881764544], [1.4, -1.3829796338912257, -1.4447724153796997]]",0,0,1.6501150131225586,1
FED_20190306a_3T2,1,2,2,52.02997016906738,Sem-photo,5,A man is salting an egg.,1,4,"[[0.35, 0.4088362261947095, 1.4432092502997853], [0.7, -1.454273986833663, -0.367542067277914], [1.0499999999999998, 1.0454377606389536, -1.075667183021872], [1.4, 0.4088362261947095, 1.4432092502997853]]",1,1,1.7667100429534912,1
FED_20190306a_3T2,1,2,2,54.030155181884766,Sem-photo,42,A woman is plugging headphones into a Discman.,0,3,"[[0.4666666666666666, 1.5155367475321564, 1.3050472661477257], [0.9333333333333332, 0.3724357118572851, -1.965016956805553], [1.4, -1.8879724593894405, 0.6599696906578268]]",0,0,1.5000698566436768,1
FED_20190306a_3T2,1,2,2,56.03032612800598,Sem-photo,12,A woman is baking cookies.,1,4,"[[0.35, -0.010941614291275421, 1.4999600931613817], [0.7, 1.3044743524862674, -0.7405043306460357], [1.0499999999999998, -0.010941614291275421, 1.4999600931613817], [1.4, -1.2935327381949926, -0.7594557625153453]]",1,1,1.5667788982391357,1
