subject,index,weight,i,j,k,x(mm),y(mm),z(mm)
1,200414,1.0000,32,23,21,28,-82,-32
1,200415,1.0000,33,23,21,26,-82,-32
1,200506,1.0000,33,24,21,26,-80,-32
1,200507,0.4000,34,24,21,24,-80,-32
1,200508,0.4000,35,24,21,22,-80,-32
1,200510,0.2000,37,24,21,18,-80,-32
1,200511,0.2000,38,24,21,16,-80,-32
1,200598,0.4000,34,25,21,24,-78,-32
1,200608,0.2000,44,25,21,4,-78,-32
1,200681,0.4000,26,26,21,40,-76,-32
1,200682,0.4000,27,26,21,38,-76,-32
1,200700,0.2000,45,26,21,2,-76,-32
1,200772,0.2000,26,27,21,40,-74,-32
1,200773,0.2000,27,27,21,38,-74,-32
1,210156,1.0000,37,21,22,18,-86,-30
1,210157,1.0000,38,21,22,16,-86,-30
1,210158,1.0000,39,21,22,14,-86,-30
1,210159,1.0000,40,21,22,12,-86,-30
1,210160,1.0000,41,21,22,10,-86,-30
1,210161,1.0000,42,21,22,8,-86,-30
1,210162,1.0000,43,21,22,6,-86,-30
1,210245,0.2000,35,22,22,22,-84,-30
1,210246,0.2000,36,22,22,20,-84,-30
1,210247,0.2000,37,22,22,18,-84,-30
1,210253,0.2000,43,22,22,6,-84,-30
1,210254,0.4000,44,22,22,4,-84,-30
1,210334,1.0000,33,23,22,26,-82,-30
1,210335,0.8000,34,23,22,24,-82,-30
1,210336,0.2000,35,23,22,22,-82,-30
1,210423,1.0000,31,24,22,30,-80,-30
1,210424,1.0000,32,24,22,28,-80,-30
1,210425,0.8000,33,24,22,26,-80,-30
1,210426,0.6000,34,24,22,24,-80,-30
1,210427,0.4000,35,24,22,22,-80,-30
1,210428,0.2000,36,24,22,20,-80,-30
1,210429,0.2000,37,24,22,18,-80,-30
1,210512,1.0000,29,25,22,34,-78,-30
1,210513,1.0000,30,25,22,32,-78,-30
1,210514,1.0000,31,25,22,30,-78,-30
1,210518,0.4000,35,25,22,22,-78,-30
1,210519,0.2000,36,25,22,20,-78,-30
1,210520,0.2000,37,25,22,18,-78,-30
1,210521,0.4000,38,25,22,16,-78,-30
1,210522,0.6000,39,25,22,14,-78,-30
1,210523,0.6000,40,25,22,12,-78,-30
1,210527,0.2000,44,25,22,4,-78,-30
1,210528,0.2000,45,25,22,2,-78,-30
1,210604,0.4000,30,26,22,32,-76,-30
1,210611,0.2000,37,26,22,18,-76,-30
1,210612,0.4000,38,26,22,16,-76,-30
1,210613,0.4000,39,26,22,14,-76,-30
1,210619,0.2000,45,26,22,2,-76,-30
1,210620,0.2000,46,26,22,0,-76,-30
1,220075,0.6000,37,21,23,18,-86,-28
1,220076,1.0000,38,21,23,16,-86,-28
1,220077,1.0000,39,21,23,14,-86,-28
1,220078,1.0000,40,21,23,12,-86,-28
1,220079,1.0000,41,21,23,10,-86,-28
1,220080,1.0000,42,21,23,8,-86,-28
1,220164,0.2000,35,22,23,22,-84,-28
1,220169,0.2000,40,22,23,12,-84,-28
1,220170,0.6000,41,22,23,10,-84,-28
1,220171,0.8000,42,22,23,8,-84,-28
1,220172,0.8000,43,22,23,6,-84,-28
1,220173,0.8000,44,22,23,4,-84,-28
1,220253,1.0000,33,23,23,26,-82,-28
1,220254,0.8000,34,23,23,24,-82,-28
1,220342,0.8000,31,24,23,30,-80,-28
1,220343,0.8000,32,24,23,28,-80,-28
1,220344,0.4000,33,24,23,26,-80,-28
1,220345,0.2000,34,24,23,24,-80,-28
1,220431,0.2000,29,25,23,34,-78,-28
1,220432,0.4000,30,25,23,32,-78,-28
1,220437,0.2000,35,25,23,22,-78,-28
1,220440,0.6000,38,25,23,16,-78,-28
1,220441,0.8000,39,25,23,14,-78,-28
1,220528,0.2000,35,26,23,22,-76,-28
1,220529,0.2000,36,26,23,20,-76,-28
1,220531,0.8000,38,26,23,16,-76,-28
1,220532,0.8000,39,26,23,14,-76,-28
1,220896,0.2000,39,30,23,14,-68,-28
1,221657,1.0000,72,38,23,-52,-52,-28
1,221747,1.0000,71,39,23,-50,-50,-28
1,221838,0.8000,71,40,23,-50,-48,-28
1,229995,0.6000,38,21,24,16,-86,-26
1,229996,1.0000,39,21,24,14,-86,-26
1,230088,0.8000,40,22,24,12,-84,-26
1,230089,1.0000,41,22,24,10,-84,-26
1,230090,1.0000,42,22,24,8,-84,-26
1,230171,0.2000,32,23,24,28,-82,-26
1,230172,0.6000,33,23,24,26,-82,-26
1,230173,0.2000,34,23,24,24,-82,-26
1,230182,0.2000,43,23,24,6,-82,-26
1,230183,0.8000,44,23,24,4,-82,-26
1,230449,0.2000,37,26,24,18,-76,-26
1,230450,1.0000,38,26,24,16,-76,-26
1,230451,0.8000,39,26,24,14,-76,-26
1,230540,0.2000,37,27,24,18,-74,-26
1,230541,0.6000,38,27,24,16,-74,-26
1,230629,0.8000,35,28,24,22,-72,-26
1,230630,0.4000,36,28,24,20,-72,-26
1,230632,0.2000,38,28,24,16,-72,-26
1,230721,0.8000,36,29,24,20,-70,-26
1,231027,1.0000,69,32,24,-46,-64,-26
1,231118,1.0000,69,33,24,-46,-62,-26
1,231119,0.8000,70,33,24,-48,-62,-26
1,231209,1.0000,69,34,24,-46,-60,-26
1,231210,1.0000,70,34,24,-48,-60,-26
1,231301,0.8000,70,35,24,-48,-58,-26
1,231302,0.4000,71,35,24,-50,-58,-26
1,231484,0.6000,71,37,24,-50,-54,-26
1,231485,0.4000,72,37,24,-52,-54,-26
