ROI,Subject,Effect,Session/Partition,LocalizerSize,EffectSize
21,1,Perc_photominusSem_photo, 4,7,0.380812
21,1,Perc_sentminusSem_sent, 5,8,0.001800
21,1,Perc_photominusSem_photo, 5,8,1.575764
22,1,Perc_sentminusSem_sent, 1,6,0.993404
22,1,Perc_photominusSem_photo, 1,6,1.295669
22,1,Perc_sentminusSem_sent, 2,7,0.166281
22,1,Perc_photominusSem_photo, 2,7,0.271608
22,1,Perc_sentminusSem_sent, 3,11,-0.678380
22,1,Perc_photominusSem_photo, 3,11,-0.703613
22,1,Perc_sentminusSem_sent, 4,8,0.093037
22,1,Perc_photominusSem_photo, 4,8,-0.360268
22,1,Perc_sentminusSem_sent, 5,9,-0.249013
22,1,Perc_photominusSem_photo, 5,9,-0.260625
23,1,Perc_sentminusSem_sent, 1,11,0.164118
23,1,Perc_photominusSem_photo, 1,11,-0.256537
23,1,Perc_sentminusSem_sent, 2,9,1.389836
23,1,Perc_photominusSem_photo, 2,9,0.333052
23,1,Perc_sentminusSem_sent, 3,8,0.252616
23,1,Perc_photominusSem_photo, 3,8,0.843981
23,1,Perc_sentminusSem_sent, 4,8,1.407818
23,1,Perc_photominusSem_photo, 4,8,1.105517
23,1,Perc_sentminusSem_sent, 5,9,0.570904
23,1,Perc_photominusSem_photo, 5,9,1.040346
24,1,Perc_sentminusSem_sent, 1,12,0.511011
24,1,Perc_photominusSem_photo, 1,12,0.228317
24,1,Perc_sentminusSem_sent, 2,17,0.300733
24,1,Perc_photominusSem_photo, 2,17,0.032662
24,1,Perc_sentminusSem_sent, 3,4,1.063217
24,1,Perc_photominusSem_photo, 3,4,0.819695
24,1,Perc_sentminusSem_sent, 4,6,0.785143
24,1,Perc_photominusSem_photo, 4,6,0.600680
24,1,Perc_sentminusSem_sent, 5,14,0.882763
24,1,Perc_photominusSem_photo, 5,14,0.471961
25,1,Perc_sentminusSem_sent, 1,5,1.084353
25,1,Perc_photominusSem_photo, 1,5,0.740072
25,1,Perc_sentminusSem_sent, 2,6,0.885476
25,1,Perc_photominusSem_photo, 2,6,0.147028
25,1,Perc_sentminusSem_sent, 3,5,0.455381
25,1,Perc_photominusSem_photo, 3,5,1.019380
25,1,Perc_sentminusSem_sent, 4,6,0.620466
25,1,Perc_photominusSem_photo, 4,6,-0.042215
25,1,Perc_sentminusSem_sent, 5,5,0.645647
25,1,Perc_photominusSem_photo, 5,5,1.081756
26,1,Perc_sentminusSem_sent, 1,2,0.520418
26,1,Perc_photominusSem_photo, 1,2,0.834389
26,1,Perc_sentminusSem_sent, 2,2,0.603250
26,1,Perc_photominusSem_photo, 2,2,0.474451
26,1,Perc_sentminusSem_sent, 3,2,0.662200
26,1,Perc_photominusSem_photo, 3,2,0.630383
26,1,Perc_sentminusSem_sent, 4,2,0.787225
26,1,Perc_photominusSem_photo, 4,2,0.561999
26,1,Perc_sentminusSem_sent, 5,2,0.873472
26,1,Perc_photominusSem_photo, 5,2,0.768016
