roi_label,x,y,z,effect_size_photo,effect_size_sent
2,21,70,40,0.704624891281128,0.352897971868515
2,21,69,41,0.922186255455017,0.244074612855911
2,22,69,41,0.795341789722443,0.169984430074692
2,21,70,41,0.945254921913147,0.434641897678375
2,22,70,41,0.801549673080444,0.351062417030334
2,21,71,41,0.59522420167923,0.349211871623993
2,21,69,42,0.762361586093903,-0.0223761200904846
2,22,69,42,0.736504316329956,-0.125340849161148
2,21,70,42,0.932404637336731,0.246365517377853
2,22,70,42,0.909542798995972,0.209462821483612
2,23,70,42,0.671128749847412,0.19433768093586
2,21,71,42,0.693568050861359,0.311803132295609
2,22,71,42,0.693596184253693,0.40535706281662
2,21,70,43,0.83897852897644,-0.0380030870437622
2,22,70,43,0.888767600059509,-0.0462110303342342
2,23,70,43,0.745732426643372,0.0697862878441811
2,19,71,43,0.637615323066711,0.557623684406281
2,20,71,43,0.666587054729462,0.35493877530098
2,21,71,43,0.785206317901611,0.21102175116539
2,22,71,43,0.807878494262695,0.282228201627731
2,23,71,43,0.655432164669037,0.276176899671555
2,17,74,43,0.72683048248291,-0.278670132160187
2,21,70,44,0.668381035327911,-0.306846499443054
2,22,70,44,0.843438446521759,-0.276730358600616
2,23,70,44,0.645553112030029,-0.188040405511856
2,18,71,44,0.681127429008484,0.0564107298851013
2,19,71,44,0.713944017887115,0.195558816194534
2,20,71,44,0.701359152793884,0.188834488391876
2,21,71,44,0.73323130607605,0.107821643352509
2,22,71,44,0.700641810894012,0.0411395691335201
2,23,71,44,0.506528317928314,-0.0454350486397743
2,17,73,44,0.797633707523346,-0.2558773458004
2,17,74,44,0.761389136314392,-0.281102210283279
2,17,71,45,1.17370223999023,-0.0727507919073105
2,18,71,45,0.784830689430237,-0.252837717533112
2,19,71,45,0.585416913032532,-0.22970375418663
2,17,72,45,1.195521235466,-0.115933328866959
2,17,73,45,1.03857111930847,-0.133229464292526
2,17,74,45,0.857619762420654,-0.0623330250382423
2,16,70,46,1.38377213478088,0.0772669315338135
2,16,71,46,2.23482608795166,0.329930067062378
2,17,71,46,1.53470718860626,-0.0382671542465687
2,18,71,46,0.744035065174103,-0.430038779973984
2,17,72,46,1.41139268875122,-0.124774426221848
2,17,73,46,1.08621037006378,-0.0354167260229588
2,17,74,46,0.922028541564941,0.0901884287595749
2,17,75,46,0.69754433631897,0.030658807605505
2,28,77,46,0.724120020866394,-0.309969365596771
2,29,77,46,1.13787055015564,-0.416563302278519
2,28,78,46,0.772097289562225,-0.298724263906479
2,29,78,46,1.18750703334808,-0.23259574174881
2,16,70,47,1.42419743537903,-0.33296212553978
2,16,71,47,2.08961248397827,0.0229986868798733
2,17,71,47,1.43567109107971,-0.143155217170715
2,16,72,47,1.80874502658844,0.114783957600594
2,17,72,47,1.22424364089966,-0.239225402474403
2,16,73,47,1.33610129356384,0.126244112849236
2,17,73,47,0.908117592334747,-0.22076752781868
2,17,74,47,0.895984470844269,-0.156504452228546
2,29,74,47,0.666836380958557,0.115812048316002
2,17,75,47,0.802846074104309,-0.261747866868973
2,28,75,47,0.919601380825043,-0.4454046189785
2,29,75,47,1.14419114589691,-0.0672585442662239
2,28,76,47,1.10281443595886,-0.49824047088623
2,29,76,47,1.6059193611145,-0.274017095565796
2,28,77,47,1.22120726108551,-0.440323263406754
2,29,77,47,1.72725319862366,-0.356281191110611
2,28,78,47,1.05285930633545,-0.426619976758957
2,29,78,47,1.42129325866699,-0.227002665400505
2,16,71,48,1.5507994890213,-0.331436216831207
2,17,71,48,1.00499141216278,-0.307814955711365
2,16,72,48,1.26576972007751,-0.293502449989319
2,17,72,48,0.800950169563293,-0.488544821739197
2,16,73,48,0.950046479701996,-0.314189940690994
2,17,74,48,0.794207870960236,-0.714203417301178
2,28,74,48,1.05492067337036,-0.268715083599091
2,29,74,48,1.09249269962311,0.0575367920100689
2,30,74,48,0.614201605319977,-0.0166769940406084
2,17,75,48,0.825273871421814,-0.825874090194702
2,28,75,48,1.48926067352295,-0.509999513626099
2,29,75,48,1.60825490951538,-0.094256691634655
2,28,76,48,1.39626026153564,-0.538635671138763
2,29,76,48,1.83355045318604,-0.27428737282753
2,28,77,48,1.2379937171936,-0.512359321117401
2,28,78,48,1.02240538597107,-0.542148888111115
2,16,71,49,0.935757040977478,-0.452872782945633
2,27,71,49,0.518925428390503,0.364396333694458
2,28,71,49,0.687096238136292,0.450468182563782
2,16,72,49,0.835468888282776,-0.536453783512115
2,28,72,49,0.569037795066833,0.310193777084351
2,28,73,49,0.627047121524811,-0.125184118747711
2,29,73,49,0.769908905029297,0.0946870595216751
2,28,74,49,1.29926931858063,-0.455811858177185
2,29,74,49,1.31968903541565,-0.00510620325803757
2,30,74,49,0.802517652511597,-0.041091613471508
2,27,75,49,0.749822378158569,-0.912872552871704
2,28,75,49,1.50933694839478,-0.574531435966492
2,29,75,49,1.56610155105591,-0.119866259396076
2,28,76,49,1.0707950592041,-0.456193894147873
2,29,76,49,1.36843585968018,-0.290524452924728
2,28,77,49,0.790875017642975,-0.479980766773224
2,27,78,49,0.544667184352875,-0.473033010959625
2,25,65,50,0.833090662956238,0.0551324635744095
2,24,66,50,0.797690093517303,0.163445383310318
2,28,71,50,0.762504756450653,0.468186259269714
2,29,71,50,0.541195452213287,0.188903823494911
2,28,72,50,0.678758800029755,0.270235687494278
2,29,72,50,0.590162098407745,0.125207215547562
2,29,73,50,0.764925301074982,-0.019185047596693
2,30,73,50,0.510929942131042,-0.0559909418225288
2,28,74,50,1.02681231498718,-0.704528748989105
2,29,74,50,1.12674701213837,-0.0988509282469749
2,28,75,50,1.00608468055725,-0.547322988510132
2,29,75,50,1.0471533536911,-0.107598885893822
2,26,64,51,1.20973300933838,-0.592436194419861
2,27,64,51,0.838196873664856,-0.524580240249634
2,24,65,51,1.66759169101715,0.329941630363464
2,25,65,51,1.22647964954376,-0.0387036800384521
2,26,65,51,0.644312500953674,-0.506322264671326
2,23,66,51,0.847323417663574,-0.269586205482483
2,24,66,51,0.786178827285767,0.0214708559215069
2,28,71,51,0.528253793716431,0.318425357341766
2,29,74,51,0.624337315559387,-0.176637455821037
2,25,76,51,0.865690946578979,-0.0814753323793411
2,26,76,51,0.79257345199585,-0.0139474309980869
2,25,77,51,0.797521948814392,0.456356585025787
2,25,64,52,1.95721447467804,-0.233935952186584
2,26,64,52,1.45905184745789,-0.557647347450256
2,27,64,52,1.04249596595764,-0.421189278364182
2,28,64,52,0.692152619361877,-0.0324197337031364
2,24,65,52,1.87114024162292,-0.0747157335281372
2,25,65,52,1.41832268238068,-0.333406984806061
2,26,65,52,0.875689506530762,-0.572682857513428
2,23,66,52,0.961764395236969,-0.467918276786804
2,24,66,52,0.679092407226562,-0.419348239898682
2,17,72,52,0.777619659900665,-0.3402419090271
2,24,77,52,0.677221179008484,0.501899898052216
2,25,64,53,2.12929439544678,-0.370850473642349
2,26,64,53,1.65172433853149,-0.382534444332123
2,27,64,53,1.23466670513153,-0.166580706834793
2,28,64,53,0.988507509231567,0.223225817084312
2,24,65,53,1.79741525650024,-0.518756926059723
2,25,65,53,1.3260018825531,-0.633152902126312
2,26,65,53,0.98365592956543,-0.495936989784241
2,27,65,53,0.774251580238342,-0.211680978536606
2,28,65,53,0.72587251663208,0.0819572508335114
2,29,65,53,0.5996413230896,0.347879469394684
2,23,66,53,0.943674325942993,-0.733861744403839
2,29,66,53,0.557660520076752,-0.0876907557249069
2,22,67,53,0.705294668674469,-0.434858441352844
2,22,75,53,0.730385899543762,0.0213752463459969
2,26,63,54,1.04482614994049,-0.179033547639847
2,27,63,54,0.967626512050629,-0.0619552507996559
2,25,64,54,1.89348816871643,-0.280262351036072
2,26,64,54,1.51844489574432,-0.100772209465504
2,27,64,54,1.16949963569641,0.0630239099264145
2,28,64,54,0.922910809516907,0.306411057710648
2,24,65,54,1.35266017913818,-0.725764751434326
2,25,65,54,1.02268993854523,-0.566627204418182
2,26,65,54,0.834815382957458,-0.293879777193069
2,27,65,54,0.734593749046326,-0.0438567698001862
2,28,65,54,0.730545938014984,0.195407003164291
2,29,65,54,0.60566246509552,0.350778132677078
2,19,69,54,1.91534876823425,-2.20395803451538
2,25,63,55,1.07229113578796,-0.0493780374526978
2,26,63,55,0.821968913078308,0.076355867087841
2,24,64,55,1.46349501609802,-0.288065075874329
2,25,64,55,1.33024370670319,0.0402585864067078
2,26,64,55,1.00312924385071,0.156818568706512
2,27,64,55,0.689401626586914,0.108826294541359
2,24,65,55,0.702138721942902,-0.542493879795074
2,25,65,55,0.60909515619278,-0.273516029119492
2,20,69,55,1.19124484062195,-1.06321477890015
2,21,73,55,0.67402720451355,-0.0277405939996243
2,24,63,56,0.665921747684479,-0.195605248212814
2,24,64,56,0.695232391357422,-0.0824478268623352
2,25,64,56,0.626556932926178,0.153740838170052
2,22,71,56,0.830880165100098,0.262093335390091
4,21,86,38,1.78760695457458,0.545887172222137
4,25,83,39,1.15550851821899,0.0253491811454296
4,26,83,39,1.0045428276062,-0.104782931506634
4,23,84,39,1.26950311660767,-0.10737606883049
4,24,84,39,1.33802139759064,0.00677412375807762
4,25,84,39,1.33960092067719,0.126033589243889
4,26,84,39,1.0709593296051,-0.14104075729847
4,23,85,39,1.23033165931702,-0.0962225049734116
4,21,86,39,2.15521049499512,0.705660104751587
4,22,86,39,1.41571247577667,0.0999850034713745
4,18,76,40,1.41200649738312,0.325811326503754
4,26,82,40,1.39313554763794,0.386020839214325
4,27,82,40,1.18825435638428,0.0980227738618851
4,22,83,40,1.24125969409943,0.00281032547354698
4,23,83,40,1.76047933101654,0.298196583986282
4,24,83,40,1.92489540576935,0.38682609796524
4,25,83,40,2.09019660949707,0.629190742969513
4,26,83,40,1.95060801506042,0.464472323656082
4,27,83,40,1.48605501651764,0.0838423743844032
4,22,84,40,1.75771629810333,-0.00522200763225555
4,23,84,40,2.20249271392822,0.347289353609085
4,24,84,40,2.37961483001709,0.565894901752472
4,25,84,40,2.33525562286377,0.733778595924377
4,26,84,40,2.00079202651978,0.460539430379868
4,27,84,40,1.35760068893433,0.0401588976383209
4,22,85,40,1.82954335212708,-0.0564045011997223
4,23,85,40,1.80120038986206,0.169795528054237
4,24,85,40,1.6639416217804,0.392587184906006
4,25,85,40,1.33300042152405,0.419105738401413
4,26,85,40,1.01173913478851,0.249903455376625
4,21,86,40,2.00118112564087,0.682303249835968
4,22,86,40,1.52074670791626,0.0783844366669655
4,22,87,40,1.37444865703583,0.593283474445343
4,18,75,41,0.957094371318817,0.0617807060480118
4,18,76,41,1.13339924812317,0.00464586913585663
4,26,81,41,1.13957893848419,0.458138942718506
4,27,81,41,1.09137499332428,0.194127961993217
4,23,82,41,1.17353570461273,0.388001561164856
4,24,82,41,1.28619039058685,0.438174664974213
4,25,82,41,1.59210467338562,0.708164930343628
4,26,82,41,1.95531940460205,0.754420697689056
4,27,82,41,1.8077529668808,0.454059034585953
4,28,82,41,1.34729468822479,0.0445292703807354
4,22,83,41,1.48477458953857,0.458692938089371
4,23,83,41,2.36371302604675,0.854548394680023
4,24,83,41,2.64791917800903,1.03772175312042
4,25,83,41,2.68781661987305,1.20577418804169
4,26,83,41,2.64515018463135,1.11533558368683
4,27,83,41,2.20433878898621,0.676350831985474
4,28,83,41,1.49181485176086,0.353620976209641
4,22,84,41,1.76470649242401,0.248193696141243
4,23,84,41,2.53813147544861,0.717914223670959
4,24,84,41,2.92547464370728,1.02177739143372
4,25,84,41,2.88389778137207,1.20803666114807
4,26,84,41,2.51037669181824,1.01193833351135
4,27,84,41,1.89685642719269,0.596006989479065
4,28,84,41,1.06988251209259,0.344250619411469
4,22,85,41,1.50798678398132,0.0174163244664669
4,23,85,41,1.76427733898163,0.303700923919678
4,24,85,41,1.74954104423523,0.512874960899353
4,25,85,41,1.54945528507233,0.673492252826691
4,26,85,41,1.26028728485107,0.5111044049263
4,27,85,41,0.982733488082886,0.360444337129593
4,21,86,41,1.55240094661713,0.415035605430603
4,22,86,41,1.260014295578,0.116476804018021
4,22,87,41,1.21606028079987,0.566898107528687
4,26,81,42,1.12732970714569,0.2343420535326
4,27,81,42,1.18723487854004,0.0772834867238998
4,28,81,42,1.14542841911316,-0.185889512300491
4,23,82,42,1.15527176856995,0.435736835002899
4,24,82,42,1.33176326751709,0.537513971328735
4,25,82,42,1.53518342971802,0.648913621902466
4,26,82,42,1.93390774726868,0.724753558635712
4,27,82,42,1.95182180404663,0.582254469394684
4,28,82,42,1.6307737827301,0.28846263885498
4,22,83,42,1.3687287569046,0.557436585426331
4,23,83,42,2.35044097900391,0.906766951084137
4,24,83,42,2.66756057739258,1.07497596740723
