SubjID,List,Order,Run,TrialNumber,TrialOnset,Condition,ItemNum,Item,Motion,CorrectAnswer,Response,Accuracy,RT
FED_20160520a_3T1,1,1,1,1,0,FIX,0,+,-,0,0,0,0
FED_20160520a_3T1,1,1,1,2,24,Pic_Sem,26,26_implaus_queen_bows_to_peasant.jpg,left,2,0,0,0
FED_20160520a_3T1,1,1,1,3,26,Pic_Sem,14,14_implaus_bride_blesses_priest.jpg,left,2,2,1,0.511998750997009
FED_20160520a_3T1,1,1,1,4,28,Pic_Sem,10,10_implaus_king_entertain_jester.jpg,left,2,1,0,1.31149302600534
FED_20160520a_3T1,1,1,1,5,30,Pic_Sem,37,37_plaus_man_proposing_to_woman.jpg,left,1,1,1,1.19121633200848
FED_20160520a_3T1,1,1,1,6,32,Pic_Sem,31,31_plaus_visitor_pushes_nurse.jpg,left,1,1,1,1.05941676801012
FED_20160520a_3T1,1,1,1,7,34,Pic_Sem,39,39_plaus_lifeguard_saves_grandma.jpg,left,1,1,1,0.975866175009287
FED_20160520a_3T1,1,1,1,8,36,Pic_Sem,28,28_implaus_child_laces_shoes_of_father.jpg,right,2,1,0,1.60565113300981
FED_20160520a_3T1,1,1,1,9,38,Pic_Sem,4,04_implaus_grandmother_rescuse_fireman.jpg,left,2,1,0,1.44300039100926
FED_20160520a_3T1,1,1,1,10,40,Pic_Sem,5,05_plaus_dentist_treating_patient.jpg,right,1,1,1,1.17485690199828
FED_20160520a_3T1,1,1,1,11,42,Pic_Sem,11,11_plaus_lion_chases_guide.jpg,right,1,1,1,0.973689070000546
FED_20160520a_3T1,1,1,1,12,46,Pic_Perc,16,16_implaus_student_lectures_to_a_professor.jpg,right,2,0,0,0
FED_20160520a_3T1,1,1,1,13,48,Pic_Perc,15,15_plaus_shark_bites_snorkeler.jpg,left,1,0,0,0
FED_20160520a_3T1,1,1,1,14,50,Pic_Perc,32,32_implaus_patient_visits_relative.jpg,left,1,1,1,1.03627970800153
FED_20160520a_3T1,1,1,1,15,52,Pic_Perc,2,02_implaus_child_scolding_babysitter.jpg,right,2,2,1,1.08628014099668
FED_20160520a_3T1,1,1,1,16,54,Pic_Perc,27,27_plaus_lady_applauds_the_athlete.jpg,right,2,1,0,1.35168071000953
FED_20160520a_3T1,1,1,1,17,56,Pic_Perc,8,08_implaus_business_man_painting_artist.jpg,left,1,1,1,1.31899261700164
FED_20160520a_3T1,1,1,1,18,58,Pic_Perc,19,19_plaus_man_gives_to_beggar.jpg,left,1,2,0,1.43367113600834
FED_20160520a_3T1,1,1,1,19,60,Pic_Perc,33,33_plaus_boss_orders_worker.jpg,left,1,1,1,1.53484412700345
FED_20160520a_3T1,1,1,1,20,62,Pic_Perc,36,36_implaus_child_licking_dog.jpg,left,1,2,0,1.38326791100553
FED_20160520a_3T1,1,1,1,21,64,Pic_Perc,17,17_plaus_vampir_bites_woman.jpg,left,1,1,1,1.33194631700462
FED_20160520a_3T1,1,1,1,22,68,Sent_Sem,29,The grandma is stealing the purse from the thief.,left,2,0,0,0
FED_20160520a_3T1,1,1,1,23,70,Sent_Sem,18,The waiter is serving the customer.,right,1,2,0,0.115201118009281
FED_20160520a_3T1,1,1,1,24,72,Sent_Sem,40,The chauffeur is opening the door for the lady.,right,1,1,1,1.67916181799956
FED_20160520a_3T1,1,1,1,25,74,Sent_Sem,9,The bride is carrying the groom.,left,2,1,0,1.26184048500727
FED_20160520a_3T1,1,1,1,26,76,Sent_Sem,38,The tailor is measuring the princess.,left,1,1,1,1.70773907299736
FED_20160520a_3T1,1,1,1,27,78,Sent_Sem,17,The woman is biting the vampire.,left,2,2,1,1.3602394900081
FED_20160520a_3T1,1,1,1,28,80,Sent_Sem,8,The artist is painting the businessman.,right,1,1,1,1.19229507500131
FED_20160520a_3T1,1,1,1,29,82,Sent_Sem,39,The grandmother is saving the lifeguard.,right,2,2,1,1.27616691999719
FED_20160520a_3T1,1,1,1,30,84,Sent_Sem,4,The fireman is rescuing the grandmother.,left,1,2,0,1.40827426200849
FED_20160520a_3T1,1,1,1,31,86,Sent_Sem,12,The photographer is taking a picture of the model.,right,1,1,1,1.52479352599767
FED_20160520a_3T1,1,1,1,32,90,Sent_Perc,27,The athlete is applauding the lady.,left,1,1,1,1.20817953100777
FED_20160520a_3T1,1,1,1,33,92,Sent_Perc,11,The Safari guide is pouncing on the lion.,right,2,2,1,0.823945912008639
FED_20160520a_3T1,1,1,1,34,94,Sent_Perc,28,The father is tying the son's shoes.,left,1,2,0,1.23971094199806
FED_20160520a_3T1,1,1,1,35,96,Sent_Perc,6,The ghost is frightening the girl.,left,1,1,1,0.787922515999526
FED_20160520a_3T1,1,1,1,36,98,Sent_Perc,31,The patient is pushing the visitor.,left,1,2,0,1.12135205999948
FED_20160520a_3T1,1,1,1,37,100,Sent_Perc,20,The chef is cooking for the lady.,right,2,2,1,0.971027695006342
FED_20160520a_3T1,1,1,1,38,102,Sent_Perc,32,The relative is bringing flowers to the patient.,left,1,1,1,1.03762120200554
FED_20160520a_3T1,1,1,1,39,104,Sent_Perc,33,The worker is yelling at the boss.,left,1,1,1,0.985997519004741
FED_20160520a_3T1,1,1,1,40,106,Sent_Perc,36,The dog is licking the girl on the face.,left,1,1,1,1.13644049099821
FED_20160520a_3T1,1,1,1,41,108,Sent_Perc,26,The peasant is bowing to the queen.,right,2,2,1,1.26654767700529
FED_20160520a_3T1,1,1,1,42,110,FIX,0,+,-,0,0,0,0
FED_20160520a_3T1,1,1,1,43,134,Sent_Perc,27,The athlete is applauding the lady.,left,1,1,1,1.10875803400995
FED_20160520a_3T1,1,1,1,44,136,Sent_Perc,11,The Safari guide is pouncing on the lion.,right,2,2,1,1.69017177200294
FED_20160520a_3T1,1,1,1,45,138,Sent_Perc,28,The father is tying the son's shoes.,left,1,1,1,0.807948002999183
FED_20160520a_3T1,1,1,1,46,140,Sent_Perc,6,The ghost is frightening the girl.,left,1,2,0,1.25780920599937
FED_20160520a_3T1,1,1,1,47,142,Sent_Perc,31,The patient is pushing the visitor.,left,1,1,1,0.940381838998292
FED_20160520a_3T1,1,1,1,48,144,Sent_Perc,20,The chef is cooking for the lady.,right,2,2,1,0.900187296007061
FED_20160520a_3T1,1,1,1,49,146,Sent_Perc,32,The relative is bringing flowers to the patient.,left,1,1,1,0.851409730006708
FED_20160520a_3T1,1,1,1,50,148,Sent_Perc,33,The worker is yelling at the boss.,left,1,1,1,0.968356633005897
FED_20160520a_3T1,1,1,1,51,150,Sent_Perc,36,The dog is licking the girl on the face.,left,1,1,1,0.987058665996301
FED_20160520a_3T1,1,1,1,52,152,Sent_Perc,26,The peasant is bowing to the queen.,right,2,2,1,0.836942619003821
FED_20160520a_3T1,1,1,1,53,156,Sent_Sem,29,The grandma is stealing the purse from the thief.,left,2,2,1,1.53429006700753
FED_20160520a_3T1,1,1,1,54,158,Sent_Sem,18,The waiter is serving the customer.,right,1,2,0,1.55205201500212
FED_20160520a_3T1,1,1,1,55,160,Sent_Sem,40,The chauffeur is opening the door for the lady.,right,1,0,0,0
FED_20160520a_3T1,1,1,1,56,162,Sent_Sem,9,The bride is carrying the groom.,left,2,1,0,1.23361701300018
FED_20160520a_3T1,1,1,1,57,164,Sent_Sem,38,The tailor is measuring the princess.,left,1,2,0,1.31550695499755
FED_20160520a_3T1,1,1,1,58,166,Sent_Sem,17,The woman is biting the vampire.,left,2,2,1,1.06406825000886
FED_20160520a_3T1,1,1,1,59,168,Sent_Sem,8,The artist is painting the businessman.,right,1,2,0,1.04845402800129
FED_20160520a_3T1,1,1,1,60,170,Sent_Sem,39,The grandmother is saving the lifeguard.,right,2,2,1,1.29730880699935
FED_20160520a_3T1,1,1,1,61,172,Sent_Sem,4,The fireman is rescuing the grandmother.,left,1,0,0,0
FED_20160520a_3T1,1,1,1,62,174,Sent_Sem,12,The photographer is taking a picture of the model.,right,1,2,0,1.29558636700676
