SubjID,List,Order,Run,TrialNumber,TrialOnset,Condition,ItemNum,Item,Motion,CorrectAnswer,Response,Accuracy,RT
FED_20160520d_3T1,1,1,2,60,170,Sent_Sem,32,The relative is bringing flowers to the patient.,right,1,1,1,1.35118408501148
FED_20160520d_3T1,1,1,2,61,172,Sent_Sem,16,The professor is lecturing to the student.,left,1,1,1,1.46560012100963
FED_20160520d_3T1,1,1,2,62,174,Sent_Sem,17,The woman is biting the vampire.,right,2,2,1,1.8386049529945
FED_20160520d_3T1,1,1,2,63,178,Pic_Perc,26,26_implaus_queen_bows_to_peasant.jpg,right,2,0,0,0
FED_20160520d_3T1,1,1,2,64,180,Pic_Perc,23,23_plaus_judge_sentences_criminal.jpg,left,1,2,0,1.1832594750158
FED_20160520d_3T1,1,1,2,65,182,Pic_Perc,32,32_implaus_patient_visits_relative.jpg,right,2,1,0,0.980532001005486
FED_20160520d_3T1,1,1,2,66,184,Pic_Perc,36,36_implaus_child_licking_dog.jpg,left,1,1,1,1.63702507899143
FED_20160520d_3T1,1,1,2,67,186,Pic_Perc,24,24_implaus_child_pulls_father.jpg,left,1,1,1,1.34582953699282
FED_20160520d_3T1,1,1,2,68,188,Pic_Perc,27,27_plaus_lady_applauds_the_athlete.jpg,left,1,1,1,1.1453502800141
FED_20160520d_3T1,1,1,2,69,190,Pic_Perc,9,09_plaus_groom_carries_bride.jpg,right,2,1,0,1.21145651600091
FED_20160520d_3T1,1,1,2,70,192,Pic_Perc,6,06_implaus_girl_frightens_ghost.jpg,right,2,2,1,1.24395760300104
FED_20160520d_3T1,1,1,2,71,194,Pic_Perc,17,17_plaus_vampir_bites_woman.jpg,left,1,0,0,0
FED_20160520d_3T1,1,1,2,72,196,Pic_Perc,15,15_plaus_shark_bites_snorkeler.jpg,left,1,2,0,1.3569790640031
FED_20160520d_3T1,1,1,2,73,200,Pic_Sem,40,40_implaus_lady_opens_door_for_chauffeur.jpg,left,2,0,0,0
FED_20160520d_3T1,1,1,2,74,202,Pic_Sem,34,34_implaus_blind_person_leading_dog.jpg,left,2,1,0,1.09048951600562
FED_20160520d_3T1,1,1,2,75,204,Pic_Sem,11,11_plaus_lion_chases_guide.jpg,right,1,1,1,1.58063359500375
FED_20160520d_3T1,1,1,2,76,206,Pic_Sem,33,33_plaus_boss_orders_worker.jpg,left,1,1,1,0.856259635998867
FED_20160520d_3T1,1,1,2,77,208,Pic_Sem,10,10_implaus_king_entertain_jester.jpg,left,2,1,0,1.4062135030108
FED_20160520d_3T1,1,1,2,78,210,Pic_Sem,14,14_implaus_bride_blesses_priest.jpg,left,2,1,0,1.42184086400084
FED_20160520d_3T1,1,1,2,79,212,Pic_Sem,5,05_plaus_dentist_treating_patient.jpg,right,1,1,1,1.45533128199168
FED_20160520d_3T1,1,1,2,80,214,Pic_Sem,19,19_plaus_man_gives_to_beggar.jpg,right,1,2,0,0.92017319900333
FED_20160520d_3T1,1,1,2,81,216,Pic_Sem,20,20_implaus_lady_cooks_for_chef.jpg,right,2,1,0,0.786700699012727
FED_20160520d_3T1,1,1,2,82,218,Pic_Sem,22,22_implaus_sports_star_interviews_journalist.jpg,left,2,1,0,1.05333950501517
FED_20160520d_3T1,1,1,2,83,220,FIX,0,+,-,0,0,0,0
